Studiekode,Studienavn,Lærested,Studiested,Utdanningsområde og -type,Kvote,Opptaksrunde,År,Poenggrense
184 929,"Religionsvitenskap, bachelor",UIB,Bergen,HISTORIE,ORD,Hovedopptak,2021,0
184 929,"Religionsvitenskap, bachelor",UIB,Bergen,HISTORIE,ORDF,Hovedopptak,2021,0
184 934,"Lektor, 8.-13. trinn, sosiologi",UIB,Bergen,LÆRER - LEKTOR 8-13,ORD,Hovedopptak,2021,53.5
184 934,"Lektor, 8.-13. trinn, sosiologi",UIB,Bergen,LÆRER - LEKTOR 8-13,ORDF,Hovedopptak,2021,51
184 935,"Lektor, 8.-13. trinn, spansk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORD,Hovedopptak,2021,0
184 935,"Lektor, 8.-13. trinn, spansk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORDF,Hovedopptak,2021,0
184 939,Nanoteknologi,UIB,Bergen,TEKNO - ANNET,ORD,Hovedopptak,2021,0
184 939,Nanoteknologi,UIB,Bergen,TEKNO - ANNET,ORDF,Hovedopptak,2021,0
184 940,Informatikk: datasikkerhet,UIB,Bergen,INFOTEKN,ORD,Hovedopptak,2021,52.3
184 940,Informatikk: datasikkerhet,UIB,Bergen,INFOTEKN,ORDF,Hovedopptak,2021,45.1
184 941,"Psykologi, profesjonsstudium",UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,65.4
184 941,"Psykologi, profesjonsstudium",UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,57.5
184 954,"Norsk som andrespråk, bachelor",UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 954,"Norsk som andrespråk, bachelor",UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
185 073,"Idéhistorie, bachelor",UIO,Oslo,HISTORIE,ORD,Hovedopptak,2021,49.1
185 073,"Idéhistorie, bachelor",UIO,Oslo,HISTORIE,ORDF,Hovedopptak,2021,0
185 074,Norrøne og keltiske studier,UIO,Oslo,SPRÅK,ORD,Hovedopptak,2021,46.5
185 074,Norrøne og keltiske studier,UIO,Oslo,SPRÅK,ORDF,Hovedopptak,2021,0
185 170,"Engelsk, årsstudium",UIO,Oslo,SPRÅK,ORD,Hovedopptak,2021,56.2
185 170,"Engelsk, årsstudium",UIO,Oslo,SPRÅK,ORDF,Hovedopptak,2021,44.5
185 174,"Fransk, årsstudium",UIO,Oslo,SPRÅK,ORD,Hovedopptak,2021,53.3
185 174,"Fransk, årsstudium",UIO,Oslo,SPRÅK,ORDF,Hovedopptak,2021,0
185 179,"Historie, årsstudium",UIO,Oslo,HISTORIE,ORD,Hovedopptak,2021,55.2
185 179,"Historie, årsstudium",UIO,Oslo,HISTORIE,ORDF,Hovedopptak,2021,42.1
185 187,Informatikk,UIO,Oslo,INFOTEKN,ORD,Hovedopptak,2021,56.6
185 187,Informatikk,UIO,Oslo,INFOTEKN,ORDF,Hovedopptak,2021,0
185 200,Kulturhistorie,UIO,Oslo,HISTORIE,ORD,Hovedopptak,2021,47.8
185 200,Kulturhistorie,UIO,Oslo,HISTORIE,ORDF,Hovedopptak,2021,0
185 211,"Nordisk, særlig norsk, språk og litteratur",UIO,Oslo,SPRÅK,ORD,Hovedopptak,2021,58.2
185 211,"Nordisk, særlig norsk, språk og litteratur",UIO,Oslo,SPRÅK,ORDF,Hovedopptak,2021,0
185 212,Norsk som andrespråk,UIO,Oslo,SPRÅK,ORD,Hovedopptak,2021,51.7
185 212,Norsk som andrespråk,UIO,Oslo,SPRÅK,ORDF,Hovedopptak,2021,0
185 222,"Tverrfaglige kjønnsstudier, årsstudium",UIO,Oslo,SAMFUNN,ORD,Hovedopptak,2021,61.7
185 222,"Tverrfaglige kjønnsstudier, årsstudium",UIO,Oslo,SAMFUNN,ORDF,Hovedopptak,2021,51.9
185 233,Realfag,UIO,Oslo,REALFAG,ORD,Hovedopptak,2021,0
185 233,Realfag,UIO,Oslo,REALFAG,ORDF,Hovedopptak,2021,0
185 237,Øst-Europa-studier,UIO,Oslo,HISTORIE,ORD,Hovedopptak,2021,58.8
185 237,Øst-Europa-studier,UIO,Oslo,HISTORIE,ORDF,Hovedopptak,2021,41.3
185 238,"Statsvitenskap, årsstudium",UIO,Oslo,SAMFUNN,ORD,Hovedopptak,2021,56
185 238,"Statsvitenskap, årsstudium",UIO,Oslo,SAMFUNN,ORDF,Hovedopptak,2021,47.1
185 239,"Samfunnsøkonomi, årsstudium",UIO,Oslo,ØKADM,ORD,Hovedopptak,2021,58.6
185 239,"Samfunnsøkonomi, årsstudium",UIO,Oslo,ØKADM,ORDF,Hovedopptak,2021,48.5
185 240,"Sosiologi, årsstudium",UIO,Oslo,SAMFUNN,ORD,Hovedopptak,2021,58.1
185 240,"Sosiologi, årsstudium",UIO,Oslo,SAMFUNN,ORDF,Hovedopptak,2021,51.3
185 272,"Kunsthistorie og visuelle studier, årsstudium",UIO,Oslo,ESTETISK,ORD,Hovedopptak,2021,60.3
