Lærested,Lærestedsnavn ,Studiekode,Studienavn,Studiested,Utdanningsområde- og type,Kvote,År,Opptaksfase,Poenggrense,Poenggrense + venteliste,Antall på venteliste,Antall studier per kvote i år
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 132,"Barnehagelærer, natur- og friluftsliv",Trondheim,LÆRER - BHGLÆRER,ORD,2019,Suppleringsopptak,44.8,44.8 (39),39,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 132,"Barnehagelærer, natur- og friluftsliv",Trondheim,LÆRER - BHGLÆRER,ORD,2020,Hovedopptak,36.2,36.2 (24),24,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 132,"Barnehagelærer, natur- og friluftsliv",Trondheim,LÆRER - BHGLÆRER,ORD,2020,Suppleringsopptak,36.2,36.2 (15),15,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 132,"Barnehagelærer, natur- og friluftsliv",Trondheim,LÆRER - BHGLÆRER,ORDF,2019,Hovedopptak,35.8,35.8 (13),13,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 132,"Barnehagelærer, natur- og friluftsliv",Trondheim,LÆRER - BHGLÆRER,ORDF,2019,Suppleringsopptak,35.8,35.8 (5),5,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 132,"Barnehagelærer, natur- og friluftsliv",Trondheim,LÆRER - BHGLÆRER,ORDF,2020,Hovedopptak,36.7,36.7 (12),12,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 132,"Barnehagelærer, natur- og friluftsliv",Trondheim,LÆRER - BHGLÆRER,ORDF,2020,Suppleringsopptak,36.7,36.7 (6),6,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 133,"Barnehagelærer, deltid",Trondheim,LÆRER - BHGLÆRER,ORD,2019,Hovedopptak,40.1,40.1 (74),74,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 133,"Barnehagelærer, deltid",Trondheim,LÆRER - BHGLÆRER,ORD,2019,Suppleringsopptak,40.1,40.1 (49),49,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 133,"Barnehagelærer, deltid",Trondheim,LÆRER - BHGLÆRER,ORD,2020,Hovedopptak,38.5,38.5 (41),41,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 133,"Barnehagelærer, deltid",Trondheim,LÆRER - BHGLÆRER,ORD,2020,Suppleringsopptak,31.8,31.8 (6),6,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 133,"Barnehagelærer, deltid",Trondheim,LÆRER - BHGLÆRER,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 133,"Barnehagelærer, deltid",Trondheim,LÆRER - BHGLÆRER,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 133,"Barnehagelærer, deltid",Trondheim,LÆRER - BHGLÆRER,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 133,"Barnehagelærer, deltid",Trondheim,LÆRER - BHGLÆRER,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 134,"Barnehagelærer, ledelse",Kristiansund,LÆRER - BHGLÆRER,ORD,2019,Hovedopptak,47.8,47.8 (133),133,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 134,"Barnehagelærer, ledelse",Kristiansund,LÆRER - BHGLÆRER,ORD,2019,Suppleringsopptak,46.7,46.7 (74),74,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 134,"Barnehagelærer, ledelse",Kristiansund,LÆRER - BHGLÆRER,ORD,2020,Hovedopptak,39.3,39.3 (29),29,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 134,"Barnehagelærer, ledelse",Kristiansund,LÆRER - BHGLÆRER,ORD,2020,Suppleringsopptak,36.3,36.3 (6),6,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 134,"Barnehagelærer, ledelse",Kristiansund,LÆRER - BHGLÆRER,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 134,"Barnehagelærer, ledelse",Kristiansund,LÆRER - BHGLÆRER,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 134,"Barnehagelærer, ledelse",Kristiansund,LÆRER - BHGLÆRER,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 134,"Barnehagelærer, ledelse",Kristiansund,LÆRER - BHGLÆRER,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 529,"Barnehagelærer, flerkulturell forståelse",Trondheim,LÆRER - BHGLÆRER,ORD,2019,Hovedopptak,38.0,38.0 (29),29,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 529,"Barnehagelærer, flerkulturell forståelse",Trondheim,LÆRER - BHGLÆRER,ORD,2019,Suppleringsopptak,38.0,38.0 (18),18,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 529,"Barnehagelærer, flerkulturell forståelse",Trondheim,LÆRER - BHGLÆRER,ORD,2020,Hovedopptak,35.3,35.3 (10),10,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 529,"Barnehagelærer, flerkulturell forståelse",Trondheim,LÆRER - BHGLÆRER,ORD,2020,Suppleringsopptak,35.3,35.3 (4),4,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 529,"Barnehagelærer, flerkulturell forståelse",Trondheim,LÆRER - BHGLÆRER,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 529,"Barnehagelærer, flerkulturell forståelse",Trondheim,LÆRER - BHGLÆRER,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 529,"Barnehagelærer, flerkulturell forståelse",Trondheim,LÆRER - BHGLÆRER,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
